model,L,1,2,3,4,5,6,7,8,9,10
"SNICA (N=3, M=12)",L=1,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"SNICA (N=3, M=12)",L=2,0.96,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.99
"SNICA (N=3, M=12)",L=3,0.98,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.98,0.99
"SNICA (N=3, M=12)",L=5,0.98,0.98,0.98,0.97,0.98,0.97,0.98,0.98,0.98,0.97
"SNICA (N=6, M=24)",L=1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"SNICA (N=6, M=24)",L=2,0.97,0.98,0.97,0.98,0.97,0.98,0.98,0.96,0.98,0.97
"SNICA (N=6, M=24)",L=3,0.98,0.98,0.97,0.97,0.98,0.98,0.98,0.97,0.98,0.98
"SNICA (N=6, M=24)",L=5,0.97,0.98,0.97,0.97,0.98,0.97,0.98,0.96,0.98,0.97
"LGSSM (N=3, M=12)",L=1,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"LGSSM (N=3, M=12)",L=2,0.99,0.99,0.99,0.95,0.97,0.93,0.98,0.98,0.9,0.97
"LGSSM (N=3, M=12)",L=3,0.97,0.92,0.96,,0.93,0.88,0.88,0.87,0.93,0.92
"LGSSM (N=3, M=12)",L=5,0.94,0.96,0.97,0.87,0.98,0.95,0.95,0.95,0.97,0.93
"LGSSM (N=6, M=24)",L=1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"LGSSM (N=6, M=24)",L=2,0.95,0.96,0.95,0.97,0.94,0.97,0.96,0.91,0.95,0.96
"LGSSM (N=6, M=24)",L=3,0.96,0.95,0.96,,0.95,0.94,0.97,0.95,0.94,0.95
"LGSSM (N=6, M=24)",L=5,0.97,0.96,0.96,0.97,0.95,0.96,0.94,0.96,0.96,0.96
"iVAE* (N=3, M=12)",L=1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
"iVAE* (N=3, M=12)",L=2,0.97,0.97,0.97,0.96,0.98,0.97,0.97,0.98,0.98,0.97
"iVAE* (N=3, M=12)",L=3,0.97,0.97,0.97,0.97,0.96,0.97,0.97,0.94,0.97,0.97
"iVAE* (N=3, M=12)",L=5,0.95,0.97,0.96,0.68,0.97,0.97,0.98,0.97,0.97,0.96
"iVAE* (N=6, M=24)",L=1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
"iVAE* (N=6, M=24)",L=2,0.97,0.98,0.97,0.97,0.97,0.97,0.98,0.97,0.98,0.97
"iVAE* (N=6, M=24)",L=3,0.97,0.97,0.97,0.95,0.97,0.96,0.97,0.97,0.97,0.97
"iVAE* (N=6, M=24)",L=5,0.97,0.97,0.97,0.96,0.97,0.97,0.97,0.77,0.97,0.96
