model,L,1,2,3,4,5,6,7,8,9,10
"SNICA (N=3, M=12)",L=1,0.91,0.96,0.97,0.96,0.97,0.99,0.96,0.98,0.97,0.97
"SNICA (N=3, M=12)",L=2,0.76,0.96,0.91,0.95,0.9,0.98,0.94,0.97,0.96,0.93
"SNICA (N=3, M=12)",L=3,0.88,0.91,0.81,0.92,0.79,0.84,0.96,0.72,0.94,0.81
"SNICA (N=3, M=12)",L=5,0.89,0.76,0.63,0.77,0.79,0.86,0.83,0.68,0.75,0.6
"SNICA (N=6, M=24)",L=1,0.93,0.82,0.95,0.67,0.88,0.87,0.97,0.91,0.87,0.89
"SNICA (N=6, M=24)",L=2,0.59,0.74,0.82,0.78,0.84,0.79,0.7,0.89,0.64,0.72
"SNICA (N=6, M=24)",L=3,0.71,0.68,0.64,0.63,0.64,0.75,0.83,0.58,0.75,0.71
"SNICA (N=6, M=24)",L=5,0.63,0.65,0.61,0.57,0.67,0.53,0.58,0.58,0.62,0.58
"IIA-HMM (N=3, M=12)",L=1,0.54,0.49,0.39,0.39,0.36,0.37,0.48,0.57,0.67,0.42
"IIA-HMM (N=3, M=12)",L=2,0.48,0.49,0.55,0.44,0.45,0.6,0.48,0.55,0.74,0.39
"IIA-HMM (N=3, M=12)",L=3,0.48,0.44,0.51,0.43,0.43,0.4,0.46,,0.64,0.36
"IIA-HMM (N=3, M=12)",L=5,0.39,0.44,,0.42,0.3,0.45,0.11,0.38,0.65,0.39
"IIA-HMM (N=6, M=24)",L=1,0.33,0.33,0.24,0.23,0.35,0.23,0.12,0.32,0.23,0.33
"IIA-HMM (N=6, M=24)",L=2,0.24,0.25,0.21,0.25,0.3,0.08,0.21,0.16,0.25,0.31
"IIA-HMM (N=6, M=24)",L=3,0.34,0.29,0.25,0.24,0.09,0.3,0.14,0.18,0.26,0.4
"IIA-HMM (N=6, M=24)",L=5,0.34,,0.07,0.08,0.17,0.15,0.2,0.1,0.25,
"LGSSM (N=3, M=12)",L=1,0.78,0.69,0.71,0.75,0.76,0.76,0.75,0.79,0.74,0.73
"LGSSM (N=3, M=12)",L=2,0.69,0.62,0.76,0.77,0.83,0.73,0.73,0.9,0.6,0.9
"LGSSM (N=3, M=12)",L=3,0.81,0.71,0.58,,0.8,0.65,0.81,0.67,0.71,0.7
"LGSSM (N=3, M=12)",L=5,0.74,0.73,0.6,0.57,0.67,0.63,0.79,0.71,0.66,0.56
"LGSSM (N=6, M=24)",L=1,0.65,0.64,0.63,0.64,0.6,0.62,0.6,0.64,0.73,0.68
"LGSSM (N=6, M=24)",L=2,0.51,0.63,0.7,0.69,0.65,0.64,0.61,0.5,0.6,0.58
"LGSSM (N=6, M=24)",L=3,0.57,0.56,0.62,,0.66,0.55,0.61,0.55,0.57,0.62
"LGSSM (N=6, M=24)",L=5,0.66,0.55,0.51,0.55,0.52,0.62,0.52,0.57,0.58,0.58
"iVAE* (N=3, M=12)",L=1,0.97,0.57,0.69,0.72,0.73,0.71,0.8,0.69,0.81,0.79
"iVAE* (N=3, M=12)",L=2,0.91,0.58,0.68,0.64,0.67,0.64,0.77,0.73,0.87,0.76
"iVAE* (N=3, M=12)",L=3,0.7,0.63,0.68,0.64,0.72,0.62,0.67,0.6,0.79,0.63
"iVAE* (N=3, M=12)",L=5,0.49,0.51,0.44,0.21,0.6,0.57,0.57,0.63,0.57,0.36
"iVAE* (N=6, M=24)",L=1,0.8,0.73,0.76,0.83,0.68,0.69,0.61,0.68,0.69,0.72
"iVAE* (N=6, M=24)",L=2,0.67,0.61,0.73,0.77,0.61,0.69,0.67,0.57,0.6,0.63
"iVAE* (N=6, M=24)",L=3,0.64,0.59,0.49,0.58,0.6,0.59,0.56,0.55,0.63,0.59
"iVAE* (N=6, M=24)",L=5,0.49,0.51,0.39,0.36,0.55,0.39,0.45,0.42,0.63,0.64
