model,L,1,2,3,4,5,6,7,8,9,10
"SNICA (N=6, M=6)",L=1,,,,,,,,,,
"SNICA (N=6, M=6)",L=2,,,,,,,,,,
"SNICA (N=6, M=6)",L=3,,,,,,,,,,
"SNICA (N=6, M=6)",L=5,,,,,,,,,,
"IIA-HMM (N=6, M=6)",L=1,0.45,0.44,0.33,0.35,0.44,0.29,0.22,0.45,0.4,0.4
"IIA-HMM (N=6, M=6)",L=2,0.1,0.31,0.23,0.21,0.2,0.26,0.23,0.23,0.23,0.35
"IIA-HMM (N=6, M=6)",L=3,0.18,0.24,0.17,0.17,0.2,0.22,0.19,0.24,0.17,0.27
"IIA-HMM (N=6, M=6)",L=5,0.13,0.2,,0.19,0.06,0.16,0.16,0.2,0.23,0.21
"LGSSM (N=6, M=6)",L=1,,,,,,,,,,
"LGSSM (N=6, M=6)",L=2,,,,,,,,,,
"LGSSM (N=6, M=6)",L=3,,,,,,,,,,
"LGSSM (N=6, M=6)",L=5,,,,,,,,,,
"iVAE* (N=6, M=6)",L=1,,,,,,,,,,
"iVAE* (N=6, M=6)",L=2,,,,,,,,,,
"iVAE* (N=6, M=6)",L=3,,,,,,,,,,
"iVAE* (N=6, M=6)",L=5,,,,,,,,,,
